"partID","dyadID","trigram","correct_response","response"
"72","26","MATCHES:SMOKE:BUSH","Fire",""
"72","26","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"72","26","CURIOSITY:NAP:WHISKERS","Cat","cat"
"72","26","STALK:TRAINER:KING","Lion",""
"72","26","SURPRISE:LINE:BIRTHDAY","Party","party"
"72","26","RED:GO:CAR","Stop","ride"
"72","26","MOUSE : SHARP : BLUE","Cheese","teeth"
"73","27","QUACK:POND:WADDLE","Duck","duck"
"73","27","ATHLETES:WEB:RABBIT","Foot",""
"73","27","HONEY:SWARM:STING","Bee","Bee"
"73","27","MATCHES:SMOKE:BUSH","Fire",""
"73","27","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"73","27","CURIOSITY:NAP:WHISKERS","Cat","cat"
"73","27","STALK:TRAINER:KING","Lion",""
"73","27","SURPRISE:LINE:BIRTHDAY","Party","party"
"73","27","RED:GO:CAR","Stop","light"
"73","27","MOUSE : SHARP : BLUE","Cheese",""
"74","27","QUACK:POND:WADDLE","Duck","Duck"
"74","27","ATHLETES:WEB:RABBIT","Foot","Tortoise"
"74","27","HONEY:SWARM:STING","Bee","Bee"
"74","27","MATCHES:SMOKE:BUSH","Fire","Wildfire"
"74","27","CHOCOLATE:FORTUNE:TIN","Cookie",""
"74","27","CURIOSITY:NAP:WHISKERS","Cat","Cat"
"74","27","STALK:TRAINER:KING","Lion","Giant"
"74","27","SURPRISE:LINE:BIRTHDAY","Party","Party"
"74","27","RED:GO:CAR","Stop","Yellow"
"74","27","MOUSE : SHARP : BLUE","Cheese","Trap"
"75","28","QUACK:POND:WADDLE","Duck","DUCK"
"75","28","ATHLETES:WEB:RABBIT","Foot","foot"
"75","28","HONEY:SWARM:STING","Bee","bee"
"75","28","MATCHES:SMOKE:BUSH","Fire","fire"
"75","28","CHOCOLATE:FORTUNE:TIN","Cookie","cookie"
"75","28","CURIOSITY:NAP:WHISKERS","Cat","cat"
"75","28","STALK:TRAINER:KING","Lion",""
"75","28","SURPRISE:LINE:BIRTHDAY","Party","party"
"75","28","RED:GO:CAR","Stop",""
"75","28","MOUSE : SHARP : BLUE","Cheese",""
"76","28","QUACK:POND:WADDLE","Duck",""
"76","28","ATHLETES:WEB:RABBIT","Foot",""
"76","28","HONEY:SWARM:STING","Bee",""
"76","28","MATCHES:SMOKE:BUSH","Fire",""
"76","28","CHOCOLATE:FORTUNE:TIN","Cookie",""
