partID,dyadID,Sentence,Stem,Target,Hannah,Jennie,Amelia,Notes
17.00,9.00,8.00,Bert changed the oil ,because his car needed to be fixed.,3.00,3,3,
18.00,9.00,1.00,Linda swatted at the flies ,and moved around the room.,4.00,3,3,
18.00,9.00,2.00,Helen crammed for the test ,and did her best.,3.00,3,3,
18.00,9.00,3.00,Shirley asked for help getting home ,from the movie theater.,3.00,4,3,
18.00,9.00,4.00,Sam read the newspaper ,on his commute.,3.00,3,3,
18.00,9.00,5.00,Jenny went home to cook dinner ,tonight.,3.00,3,3,
18.00,9.00,6.00,Katherine baby-sat the neighbor's kids ,whenever she was available.,3.00,3,4,
18.00,9.00,7.00,Tom bottle fed the baby ,and was prepared to burp it.,3.00,2,1,
18.00,9.00,8.00,Bert changed the oil ,in the car.,3.00,3,3,
19.00,10.00,1.00,Linda swatted at the flies ,because they bothered her.,3.00,3,4,
19.00,10.00,2.00,Helen crammed for the test ,hoping to pass it.,3.00,3,3,
19.00,10.00,3.00,Shirley asked for help getting home ,because she did not know her way around.,4.00,4,4,
19.00,10.00,4.00,Sam read the newspaper ,for an hour.,3.00,3,3,
19.00,10.00,5.00,Jenny went home to cook dinner ,for her family.,5.00,4,5,
19.00,10.00,6.00,Katherine baby-sat the neighbor's kids ,for twenty dollars an hour.,2.00,2,3,
19.00,10.00,7.00,Tom bottle fed the baby ,until he was full.,3.00,3,3,
19.00,10.00,8.00,Bert changed the oil ,in his new car.,3.00,3,3,
20.00,10.00,1.00,Linda swatted at the flies ,above her,3.00,3,3,
20.00,10.00,2.00,Helen crammed for the test ,for tomorrow,3.00,3,3,
20.00,10.00,3.00,Shirley asked for help getting home ,from the party,3.00,3,2,
20.00,10.00,4.00,Sam read the newspaper ,at the kitchen table,3.00,3,3,
20.00,10.00,5.00,Jenny went home to cook dinner ,for her family,5.00,4,5,
20.00,10.00,6.00,Katherine baby-sat the neighbor's kids ,last night,3.00,3,3,
20.00,10.00,7.00,Tom bottle fed the baby ,the formula from the fridge,3.00,3,3,
20.00,10.00,8.00,Bert changed the oil ,in his car,3.00,3,3,
27.00,12.00,1.00,Linda swatted at the flies ,that were annoying her.,3.00,3,3,
27.00,12.00,2.00,Helen crammed for the test ,because she had not studied throough the week.,3.00,4,4,
27.00,12.00,3.00,Shirley asked for help getting home ,while her car was in the shop.,3.00,2,2,
27.00,12.00,4.00,Sam read the newspaper ,article about the presidential election.,3.00,3,3,
27.00,12.00,5.00,Jenny went home to cook dinner ,for her family.,5.00,4,5,
27.00,12.00,6.00,Katherine baby-sat the neighbor's kids ,while they were out of town,3.00,3,3,
27.00,12.00,7.00,Tom bottle fed the baby ,while his wife was at work.,2.00,3,1,
27.00,12.00,8.00,Bert changed the oil ,of his car.,3.00,3,3,
26.00,12.00,1.00,Linda swatted at the flies ,", and she missed.",4.00,4,4,
26.00,12.00,2.00,Helen crammed for the test ,", but she still failed.",4.00,4,4,
26.00,12.00,3.00,Shirley asked for help getting home ,", and Bob gave her a ride.",3.00,3,4,
26.00,12.00,4.00,Sam read the newspaper ,slowly because he is almost illiterate.,3.00,2,3,
26.00,12.00,5.00,Jenny went home to cook dinner ,because she was hungry.,3.00,3,3,
26.00,12.00,6.00,Katherine baby-sat the neighbor's kids ,", and she stole the neighbor's dog.",3.00,2,1,
26.00,12.00,7.00,Tom bottle fed the baby ,", because Tom is a dad.",1.00,3,2,
26.00,12.00,8.00,Bert changed the oil ,in his car.,3.00,3,3,
29.00,13.00,1.00,Linda swatted at the flies ,as they circled her head.,3.00,3,3,
29.00,13.00,2.00,Helen crammed for the test ,by only studying the morning of.,3.00,3,3,
29.00,13.00,3.00,Shirley asked for help getting home ,from a complete stranger.,3.00,3,3,
29.00,13.00,4.00,Sam read the newspaper ,on the toilet.,4.00,3,3,
29.00,13.00,5.00,Jenny went home to cook dinner ,for her thirteen children.,4.00,4,5,
29.00,13.00,6.00,Katherine baby-sat the neighbor's kids ,for 35 days.,3.00,3,4,
29.00,13.00,7.00,Tom bottle fed the baby ,while Karen cooked dinner.,4.00,4,5,
29.00,13.00,8.00,Bert changed the oil ,of his 1998 Toyota Tacoma.,3.00,3,3,
28.00,13.00,1.00,Linda swatted at the flies ,that were buzzing around.,3.00,3,3,
